time,code,class
3.684, zone5_(d)_center,1
5.482, zone4_(o)_left,1
8.002, zone5_(d)_center,1
10.481, zone3_(s)_right,1
17.324,zone1_(a)_screenRight,1
25.882, zone3_(s)_right,1
30.202, zone5_(d)_center,1
32.001, zone4_(o)_left,1
34.482, zone2_(p)_screenLeft,1
36.602, zone4_(o)_left,1
38.762, zone2_(p)_screenLeft,1
49.885, zone4_(o)_left,1
54.161, zone5_(d)_center,1
55.602, zone3_(s)_right,1
58.448,zone1_(a)_screenRight,1
62.401, zone3_(s)_right,1
66.324, zone5_(d)_center,1
67.762, zone3_(s)_right,1
69.561,zone1_(a)_screenRight,1
79.962, zone3_(s)_right,1
85.322,zone1_(a)_screenRight,1
121.282, zone3_(s)_right,1
124.881,zone1_(a)_screenRight,1
223.926, zone3_(s)_right,1
225.004,zone1_(a)_screenRight,1
253.482, zone3_(s)_right,1
253.843,zone1_(a)_screenRight,1
282.641,END,0
