time,code,class
0.122,o,1
3.817,d,1
4.936,m,1
17.537,s,1
20.897,d,1
29.861,o,1
32.376,p,1
32.941,o,1
34.616,p,1
42.181,o,1
49.456,d,1
50.017,m,1
95.941,d,1
97.617,o,1
100.14,p,1
111.901,o,1
114.696,p,1
134.577,o,1
139.901,d,1
142.697,s,1
146.059,a,1
149.697,s,1
150.536,a,1
156.696,s,1
159.22,a,1
159.777,s,1
163.421,d,1
166.781,m,1
170.979,o,1
175.737,p,1
176.857,o,1
179.658,o,1
186.096,m,1
190.576,o,1
191.981,p,1
197.3,o,1
202.621,d,1
203.739,s,1
206.537,a,1
211.301,s,1
212.421,a,1
225.018,s,1
230.9,m,1
249.656,o,1
252.74,p,1
272.06,o,1
273.461,p,1
278.5,o,1
279.62,p,1
283.541,o,1
286.617,p,1
289.421,o,1
296.264,p,1
299.03,o,1
300.292,END,0
