time,code,class
0.712,s,1
1.836,a,1
13.036,s,1
17.232,a,1
45.511,s,1
49.996,d,1
53.631,m,1
55.876,s,1
56.716,a,1
63.431,s,1
67.635,a,1
73.796,s,1
76.031,d,1
78.553,o,1
79.672,p,1
85.276,o,1
86.394,p,1
92.833,o,1
95.913,p,1
123.072,o,1
124.192,p,1
155.271,o,1
162.835,m,1
164.791,s,1
165.633,a,1
170.112,s,1
183.556,m,1
188.031,o,1
189.716,p,1
193.916,o,1
199.795,m,1
201.516,s,1
204.876,a,1
210.476,s,1
216.354,m,1
219.991,d,1
221.956,o,1
224.756,p,1
230.352,o,1
233.716,d,1
238.474,s,1
242.956,a,1
248.556,s,1
249.392,a,1
257.511,s,1
262.273,a,1
282.716,s,1
284.675,a,1
299.686,END,0
