time,code,class
0.03,s,1
10.978,a,1
16.018,s,1
23.014,d,1
24.133,m,1
26.098,d,1
26.658,o,1
27.777,p,1
31.136,o,1
34.218,m,1
38.693,d,1
38.973,s,1
41.217,a,1
44.293,s,1
50.453,m,1
54.097,o,1
56.057,p,1
65.293,o,1
67.817,d,1
70.334,s,1
73.416,a,1
75.094,s,1
75.937,a,1
80.134,s,1
81.815,d,1
84.053,o,1
87.414,p,1
89.938,o,1
92.456,d,1
95.257,m,1
98.618,o,1
101.415,p,1
111.774,o,1
112.336,p,1
127.734,o,1
128.013,p,1
237.776,o,1
239.175,p,1
245.894,o,1
246.738,p,1
252.893,o,1
255.134,p,1
257.934,o,1
258.776,p,1
270.816,o,1
271.376,p,1
285.938,o,1
290.138,d,1
300.054,m,1
300.672,END,0
