time,code,class
0.072,s,1
2.485,a,1
4.16,s,1
7.524,m,1
17.601,d,1
19.843,o,1
23.2,p,1
24.881,o,1
25.722,p,1
28.24,o,1
30.761,d,1
31.883,m,1
34.963,d,1
36.363,s,1
40.842,a,1
41.125,s,1
43.364,d,1
44.201,m,1
48.683,d,1
49.525,o,1
54.283,p,1
56.525,o,1
59.044,d,1
62.124,s,1
64.645,a,1
68.004,s,1
69.962,a,1
71.645,s,1
73.882,d,1
77.805,m,1
78.085,o,1
84.802,d,1
85.921,s,1
88.724,a,1
90.965,s,1
95.165,a,1
99.925,s,1
101.882,d,1
103.004,m,1
105.243,o,1
108.881,p,1
111.405,o,1
113.361,d,1
116.162,s,1
117.842,a,1
128.2,s,1
130.721,d,1
132.122,o,1
133.521,p,1
136.325,o,1
138,p,1
145.845,o,1
147.805,d,1
150.045,s,1
152.561,a,1
156.761,s,1
158.722,d,1
161.245,o,1
163.484,p,1
167.405,o,1
167.963,p,1
174.405,o,1
176.08,d,1
178.04,s,1
180.84,a,1
184.483,s,1
186.445,d,1
189.522,o,1
191.484,p,1
199.042,o,1
200.44,d,1
202.685,s,1
205.201,a,1
211.081,s,1
213.601,m,1
215.841,d,1
219.484,s,1
222.285,a,1
226.485,s,1
228.441,d,1
231.804,o,1
234.325,p,1
260.084,o,1
262.322,d,1
265.683,s,1
268.202,a,1
272.404,s,1
277.723,a,1
284.441,s,1
287.803,a,1
300.164,END,0
