time,code,class
10.066,a,1
12.366,p,1
16.006,o,1
18.087,d,1
21.216,m,1
24.852,o,1
26.408,p,1
38.372,o,1
40.971,m,1
44.086,s,1
45.126,a,1
47.733,s,1
48.771,a,1
57.608,s,1
58.65,a,1
84.13,s,1
85.168,s,1
85.168,a,1
91.413,s,1
93.493,d,1
94.014,m,1
99.73,s,1
100.77,a,1
108.571,s,1
109.098,a,1
120.014,s,1
121.568,a,1
131.452,s,1
135.088,a,1
137.688,a,1
175.128,s,1
176.169,a,1
178.251,s,1
179.812,a,1
197.488,s,1
199.051,a,1
212.046,s,1
213.087,a,1
217.775,s,1
221.411,a,1
225.051,s,1
225.566,a,1
228.694,s,1
232.848,d,1
234.927,o,1
235.974,p,1
243.251,o,1
245.854,m,1
248.974,s,1
250.009,a,1
252.608,s,1
255.734,d,1
257.293,m,1
259.373,d,1
259.893,o,1
260.407,p,1
267.692,o,1
270.809,d,1
272.373,s,1
272.886,a,1
276.01,s,1
278.087,d,1
279.134,m,1
281.209,d,1
282.247,o,1
285.373,d,1
289.526,s,1
291.61,a,1
297.202,s,1
299.047,a,1
300.887,s,1
302.115,d,1
304.589,o,1
305.817,p,1
305.817,END,0
