time,code,class
1.341,m,1
54.895,d,1
56.463,o,1
59.062,p,1
60.101,o,1
61.137,m,1
86.096,d,1
87.654,s,1
89.741,a,1
93.374,s,1
98.054,a,1
103.256,s,1
107.422,d,1
107.94,m,1
137.575,d,1
142.776,m,1
145.901,o,1
147.455,p,1
149.016,m,1
150.061,o,1
159.415,m,1
159.941,s,1
159.941,d,1
162.538,m,1
166.699,d,1
173.974,s,1
176.055,a,1
182.82,s,1
186.461,m,1
196.857,d,1
197.898,o,1
202.063,p,1
203.62,o,1
207.774,d,1
208.298,m,1
216.103,d,1
218.701,s,1
224.423,m,1
231.175,m,1
234.299,d,1
234.815,o,1
239.498,p,1
243.66,o,1
245.215,p,1
246.262,d,1
249.38,m,1
251.462,d,1
252.501,m,1
259.775,s,1
264.975,a,1
270.7,s,1
275.895,d,1
276.934,m,1
285.263,m,1
300.353,END,0
