time,code,class
0.03,m,1
29.883,d,1
30.405,m,1
59.002,o,1
60.568,p,1
68.368,o,1
72.007,d,1
73.57,m,1
92.803,s,1
94.887,a,1
95.93,s,1
96.967,d,1
97.487,o,1
99.042,m,1
105.803,d,1
106.322,m,1
107.368,o,1
109.965,p,1
112.051,o,1
116.729,d,1
117.764,m,1
125.051,d,1
125.564,m,1
129.723,d,1
130.25,m,1
135.45,d,1
136.486,m,1
140.645,o,1
141.683,p,1
147.923,o,1
151.05,d,1
151.567,m,1
160.93,d,1
161.967,s,1
161.967,d,1
163.529,a,1
169.765,s,1
173.93,d,1
173.93,m,1
181.203,d,1
188.487,o,1
189.002,p,1
216.569,o,1
217.082,p,1
300.282,END,0
