time,code,class
0.03,m,1
1.878,o,1
2.997,p,1
5.237,o,1
6.358,d,1
7.197,m,1
10.769,d,1
10.883,s,1
11.719,a,1
14.519,s,1
16.197,d,1
16.757,m,1
20.397,d,1
20.681,o,1
21.519,p,1
22.639,o,1
23.197,d,1
23.761,m,1
25.44,s,1
25.998,a,1
27.119,s,1
27.681,a,1
32.438,s,1
33.561,d,1
35.24,o,1
40.28,p,1
42.519,o,1
45.319,p,1
49.24,o,1
51.76,d,1
52.319,m,1
59.597,d,1
62.12,s,1
62.961,a,1
72.197,s,1
72.761,a,1
124.801,s,1
125.326,a,1
147.683,s,1
149.757,a,1
154.439,s,1
154.956,a,1
158.086,s,1
159.124,a,1
161.725,s,1
162.757,a,1
170.558,s,1
171.083,a,1
178.884,s,1
184.603,d,1
187.725,o,1
189.282,p,1
192.921,o,1
193.961,p,1
196.037,o,1
196.556,p,1
200.2,o,1
201.243,p,1
203.837,o,1
204.882,p,1
220.482,o,1
221,p,1
223.083,o,1
224.637,p,1
227.237,o,1
229.321,p,1
231.404,o,1
233.48,p,1
235.036,o,1
236.605,p,1
239.723,o,1
241.803,p,1
243.881,o,1
246.482,p,1
248.563,o,1
250.125,p,1
251.682,o,1
253.239,p,1
254.8,o,1
255.837,p,1
259.482,o,1
260.525,p,1
262.6,o,1
263.636,p,1
265.721,o,1
266.758,p,1
268.837,o,1
270.4,p,1
274.562,o,1
275.601,p,1
278.199,o,1
279.756,p,1
282.359,o,1
292.708,p,1
294.554,o,1
295.793,p,1
297.646,o,1
300.735,p,1
300.735,END,0
