time,code,class
0.03,a,1
55.779,s,1
58.902,m,1
63.579,o,1
66.178,p,1
76.062,o,1
79.18,d,1
81.262,m,1
84.38,d,1
85.418,s,1
86.981,a,1
88.538,s,1
92.179,d,1
93.219,m,1
98.417,o,1
99.461,p,1
105.703,o,1
107.262,d,1
108.304,m,1
111.418,d,1
114.018,m,1
121.825,o,1
123.905,p,1
125.978,o,1
128.06,d,1
129.617,s,1
134.304,a,1
150.945,s,1
152.499,m,1
154.58,d,1
156.145,o,1
159.266,p,1
171.745,o,1
173.303,d,1
175.378,s,1
179.02,a,1
184.739,s,1
187.345,d,1
187.859,m,1
190.978,d,1
192.018,o,1
194.103,p,1
250.267,o,1
252.86,d,1
253.9,m,1
260.665,d,1
261.699,s,1
267.417,d,1
270.545,o,1
273.145,p,1
278.345,o,1
278.866,p,1
282.499,o,1
290.3,m,1
293.458,d,1
294.075,s,1
297.126,a,1
299.585,s,1
300.792,END,0
