time,code,class
0.03,s,1
2.088,d,1
2.646,o,1
2.927,p,1
6.007,o,1
8.247,d,1
9.926,s,1
14.405,a,1
19.724,s,1
20.563,a,1
35.211,s,1
36.768,a,1
46.125,s,1
47.168,a,1
85.647,s,1
89.286,d,1
91.883,o,1
96.045,d,1
98.13,s,1
101.77,a,1
106.444,s,1
108.005,a,1
155.845,s,1
156.367,a,1
166.767,s,1
168.328,a,1
193.805,s,1
194.851,a,1
200.044,s,1
201.084,a,1
211.487,s,1
218.243,d,1
218.243,m,1
221.891,d,1
222.406,o,1
223.967,p,1
228.645,o,1
232.285,d,1
234.367,s,1
235.926,a,1
243.209,s,1
244.769,d,1
246.848,o,1
248.929,p,1
253.084,o,1
257.767,d,1
259.85,s,1
261.927,a,1
274.925,s,1
281.692,a,1
284.811,s,1
291.436,d,1
292.648,o,1
295.736,p,1
298.823,o,1
300.714,END,0
