time,code,class
0.03,m,1
49.537,d,1
50.58,s,1
53.176,a,1
62.014,s,1
67.735,d,1
70.338,o,1
75.014,p,1
79.699,o,1
90.1,m,1
102.577,s,1
103.612,a,1
144.701,s,1
149.899,m,1
179.534,s,1
182.132,a,1
184.733,s,1
187.855,d,1
188.374,d,1
188.899,m,1
192.534,o,1
193.574,p,1
200.86,o,1
202.94,d,1
205.535,s,1
207.099,a,1
215.932,s,1
220.1,d,1
222.174,m,1
223.214,o,1
224.774,p,1
236.734,o,1
238.819,p,1
248.699,o,1
251.818,d,1
252.853,m,1
258.053,s,1
259.618,a,1
260.652,s,1
262.735,d,1
263.254,m,1
265.341,o,1
267.939,p,1
270.539,o,1
274.174,m,1
277.813,s,1
278.852,a,1
282.493,s,1
284.575,d,1
286.133,o,1
288.219,p,1
291.005,o,1
292.235,p,1
297.142,o,1
300.691,p,1
300.691,END,0
