time,code,class
0.03,p,1
30.95,o,1
33.548,d,1
34.066,m,1
34.585,s,1
35.624,a,1
38.746,s,1
39.784,a,1
53.303,s,1
55.387,m,1
56.948,o,1
57.987,p,1
62.142,o,1
63.705,d,1
64.23,m,1
65.785,d,1
66.831,s,1
67.864,a,1
74.103,s,1
76.183,d,1
76.709,m,1
78.268,o,1
79.829,p,1
86.064,o,1
88.151,d,1
89.707,s,1
90.745,a,1
99.067,s,1
105.303,a,1
108.429,s,1
111.025,d,1
111.552,m,1
113.103,o,1
114.145,p,1
119.868,o,1
121.429,p,1
131.828,o,1
134.431,d,1
136.509,s,1
137.549,a,1
142.751,s,1
143.264,a,1
148.983,s,1
152.104,m,1
154.705,o,1
155.229,p,1
162.511,o,1
164.068,d,1
165.628,s,1
166.669,a,1
169.784,s,1
170.828,a,1
173.428,d,1
173.949,s,1
175.502,d,1
178.632,o,1
179.663,p,1
182.265,o,1
184.349,p,1
189.55,o,1
192.148,p,1
196.304,o,1
198.903,d,1
202.028,s,1
203.583,a,1
209.307,s,1
211.905,a,1
216.062,s,1
219.185,d,1
219.704,m,1
222.304,o,1
223.867,p,1
227.51,o,1
229.064,d,1
230.103,s,1
231.15,a,1
240.504,s,1
243.105,a,1
258.19,s,1
259.748,a,1
267.548,s,1
272.225,d,1
273.783,o,1
274.824,p,1
281.07,p,1
285.751,o,1
288.347,d,1
289.905,s,1
289.905,d,1
291.883,a,1
297.411,s,1
298.628,a,1
300.491,END,0
