time,code,class
1.158,s,1
1.434,d,1
3.397,o,1
6.479,p,1
10.118,o,1
12.717,p,1
16.878,o,1
19.475,d,1
21.558,o,1
22.597,d,1
26.242,s,1
27.799,a,1
28.841,s,1
30.394,d,1
30.927,m,1
34.039,d,1
35.076,m,1
36.641,d,1
37.158,s,1
38.2,a,1
39.243,s,1
41.319,d,1
42.358,m,1
44.958,d,1
45.483,s,1
47.558,a,1
48.074,s,1
51.719,d,1
52.243,m,1
56.397,d,1
56.919,s,1
58.483,a,1
59.519,s,1
61.594,d,1
62.64,m,1
65.758,d,1
66.275,o,1
69.923,d,1
70.962,m,1
71.999,d,1
73.559,m,1
74.595,s,1
76.159,a,1
79.801,s,1
80.32,a,1
82.398,s,1
83.441,a,1
143.758,a,1
146.359,s,1
146.875,a,1
190.037,s,1
190.558,a,1
196.801,s,1
197.318,a,1
203.564,s,1
204.602,a,1
225.916,s,1
226.434,a,1
230.6,s,1
231.114,a,1
263.883,a,1
264.397,s,1
265.958,a,1
279.483,s,1
279.998,a,1
300.472,END,0
