time,code,class
1.198, m,1
1.198, m,1
1.198, m,1
56.917, d,1
56.917, d,1
56.917, d,1
56.917, o,1
56.917, o,1
56.917, o,1
64.476, d,1
64.476, d,1
64.476, d,1
65.881, m,1
65.881, m,1
65.881, m,1
108.156, d,1
108.156, d,1
108.156, d,1
108.439, s,1
108.439, s,1
108.439, s,1
111.517,a,1
111.517,a,1
111.517,a,1
115.44, s,1
115.44, s,1
115.44, s,1
120.198, d,1
120.198, d,1
120.198, d,1
120.478, m,1
120.478, m,1
120.478, m,1
139.517, d,1
139.517, d,1
139.517, d,1
147.916, s,1
147.916, s,1
147.916, s,1
153.518, d,1
153.518, d,1
153.518, d,1
153.798, m,1
153.798, m,1
153.798, m,1
163.596, o,1
163.596, o,1
163.596, o,1
170.318, p,1
170.318, p,1
170.318, p,1
177.881, o,1
177.881, o,1
183.239, p,1
183.239, p,1
183.239, p,1
185.196, o,1
185.196, o,1
185.196, o,1
188, d,1
188, d,1
188, d,1
188.28, m,1
188.28, m,1
188.28, m,1
192.759, d,1
192.759, d,1
192.759, d,1
193.038, s,1
193.038, s,1
193.038, s,1
193.597, d,1
193.597, d,1
193.597, d,1
193.879, m,1
193.879, m,1
193.879, m,1
196.396, d,1
196.396, d,1
196.396, d,1
197.238, m,1
197.238, m,1
197.238, m,1
200.879, o,1
200.879, o,1
200.879, o,1
203.116, d,1
203.116, d,1
203.116, d,1
207.318, m,1
207.318, m,1
207.318, m,1
208.72, d,1
208.72, d,1
208.72, d,1
209.557, m,1
209.557, m,1
209.557, m,1
223.276, d,1
223.276, d,1
223.276, d,1
223.838, o,1
223.838, o,1
223.838, o,1
226.357, p,1
226.357, p,1
226.357, p,1
232.521, o,1
232.521, o,1
232.521, o,1
233.076, p,1
233.076, p,1
233.076, p,1
236.156, o,1
236.156, o,1
236.156, o,1
238.956, p,1
238.956, p,1
238.956, p,1
242.6, o,1
242.6, o,1
242.6, o,1
244.276, p,1
244.276, p,1
244.276, p,1
252.957, o,1
252.957, o,1
252.957, o,1
259.679, p,1
259.679, p,1
259.679, p,1
261.918, o,1
261.918, o,1
261.918, o,1
267.518, p,1
267.518, p,1
267.518, p,1
274.519, o,1
274.519, o,1
274.519, o,1
276.761, p,1
276.761, p,1
276.761, p,1
280.119, o,1
280.119, o,1
280.119, o,1
284.038, d,1
284.038, d,1
284.038, d,1
284.526, m,1
284.526, m,1
284.526, m,1
294.526,END,0
