time,code,class
0.03, m,1
0.03, m,1
7.006, d,1
7.006, d,1
7.006, d,1
7.281, s,1
7.281, s,1
7.281, s,1
8.122,a,1
8.122,a,1
8.122,a,1
21.841, s,1
21.841, s,1
21.841, s,1
29.124,a,1
29.124,a,1
29.124,a,1
35.322, s,1
35.322, s,1
35.322, s,1
36.165,a,1
36.165,a,1
36.165,a,1
50.165, s,1
50.165, s,1
50.165, s,1
53.241, d,1
53.241, d,1
53.241, d,1
53.802, m,1
53.802, m,1
53.802, m,1
74.525, d,1
74.525, d,1
74.525, d,1
74.801, s,1
74.801, s,1
74.801, s,1
75.644,a,1
75.644,a,1
75.644,a,1
87.123, s,1
87.123, s,1
87.123, s,1
89.365, d,1
89.365, d,1
89.365, d,1
89.921, m,1
89.921, m,1
89.921, m,1
138.925, o,1
138.925, o,1
138.925, o,1
139.765, p,1
139.765, p,1
139.765, p,1
143.963, o,1
143.963, o,1
143.963, o,1
148.163, p,1
148.163, p,1
183.321, o,1
183.321, o,1
183.321, o,1
183.886, p,1
183.886, p,1
183.886, p,1
231.802, o,1
231.802, o,1
231.802, o,1
232.641, p,1
232.641, p,1
232.641, p,1
238.525, o,1
238.525, o,1
238.525, o,1
240.761, p,1
240.761, p,1
240.761, p,1
248.882, o,1
248.882, o,1
248.882, o,1
250.561, p,1
250.561, p,1
250.561, p,1
253.923, o,1
253.923, o,1
253.923, o,1
261.201, p,1
261.201, p,1
261.201, p,1
269.046, o,1
269.046, o,1
269.046, o,1
269.884, p,1
269.884, p,1
269.884, p,1
279.125, o,1
279.125, o,1
279.125, o,1
282.205, p,1
282.205, p,1
282.205, p,1
289.667, o,1
289.667, o,1
289.667, o,1
293.573, p,1
293.573, p,1
293.573, p,1
299.658,END,0
