time,code,class
0.145, s,1
0.145, s,1
0.145, s,1
0.698,a,1
0.698,a,1
0.698,a,1
5.18, s,1
5.18, s,1
5.18, s,1
6.86, m,1
6.86, m,1
6.86, m,1
12.74, o,1
16.218, p,1
16.218, p,1
16.218, p,1
17.899, o,1
17.899, o,1
17.899, o,1
18.463, p,1
18.463, p,1
18.463, p,1
20.701, o,1
20.701, o,1
20.701, o,1
27.141, d,1
27.141, d,1
30.261, s,1
30.261, s,1
30.261, s,1
33.062,a,1
33.062,a,1
33.062,a,1
40.902, s,1
40.902, s,1
40.902, s,1
43.979, d,1
43.979, d,1
43.979, d,1
45.94, o,1
45.94, o,1
45.94, o,1
49.861, p,1
49.861, p,1
49.861, p,1
52.379, o,1
52.379, o,1
52.379, o,1
54.34, p,1
54.34, p,1
54.34, p,1
59.94, o,1
59.94, o,1
59.94, o,1
62.18, m,1
62.18, m,1
62.18, m,1
69.463, o,1
69.463, o,1
69.463, o,1
71.701, p,1
71.701, p,1
71.701, p,1
88.222, o,1
88.222, o,1
88.222, o,1
89.9, m,1
89.9, m,1
92.978, s,1
92.978, s,1
92.978, s,1
97.182,a,1
97.182,a,1
97.182,a,1
101.098, s,1
101.098, s,1
101.098, s,1
102.5,a,1
102.5,a,1
102.5,a,1
106.983, s,1
106.983, s,1
106.983, s,1
108.1,a,1
108.1,a,1
108.1,a,1
112.022, s,1
112.022, s,1
112.022, s,1
114.82, d,1
114.82, d,1
114.82, d,1
118.458, o,1
118.458, o,1
118.458, o,1
121.819, p,1
121.819, p,1
121.819, p,1
129.102, o,1
129.102, o,1
129.102, o,1
131.623, m,1
131.623, m,1
131.623, m,1
135.538, s,1
135.538, s,1
135.538, s,1
138.343,a,1
138.343,a,1
140.899, s,1
140.899, s,1
140.899, s,1
148.738,a,1
148.738,a,1
148.738,a,1
153.499, s,1
153.499, s,1
153.499, s,1
154.058,a,1
154.058,a,1
154.058,a,1
160.499, s,1
160.499, s,1
160.499, s,1
163.019, d,1
163.019, d,1
163.019, d,1
166.499, o,1
166.499, o,1
166.499, o,1
172.381, p,1
172.381, p,1
172.381, p,1
175.179, o,1
175.179, o,1
175.179, o,1
177.7, m,1
177.7, m,1
177.7, m,1
183.019, s,1
183.019, s,1
183.019, s,1
186.099,a,1
186.099,a,1
186.099,a,1
196.738, s,1
196.738, s,1
196.738, s,1
199.538, d,1
199.538, d,1
199.538, d,1
202.619, o,1
202.619, o,1
202.619, o,1
205.981, p,1
205.981, p,1
205.981, p,1
209.898, o,1
209.898, o,1
209.898, o,1
220.538, p,1
220.538, p,1
223.619, o,1
223.619, o,1
223.619, o,1
230.338, p,1
230.338, p,1
230.338, p,1
244.618, o,1
244.618, o,1
244.618, o,1
247.418, p,1
247.418, p,1
259.462, o,1
259.462, o,1
259.462, o,1
264.499, m,1
264.499, m,1
264.499, m,1
274.863, s,1
274.863, s,1
284.143, d,1
284.143, d,1
284.143, d,1
286.378, o,1
286.378, o,1
286.378, o,1
289.743, p,1
289.743, p,1
289.743, p,1
300.165,END,0
