time,code,class
0.087,a,1
0.087,a,1
0.087,a,1
7.096, s,1
7.096, s,1
7.096, s,1
10.455,a,1
10.455,a,1
10.455,a,1
16.335, s,1
16.335, s,1
16.335, s,1
18.019,a,1
18.019,a,1
18.019,a,1
23.338, s,1
23.338, s,1
23.338, s,1
25.019,a,1
25.019,a,1
25.019,a,1
37.894, s,1
37.894, s,1
37.894, s,1
39.854,a,1
39.854,a,1
39.854,a,1
46.574, s,1
46.574, s,1
46.574, s,1
48.259,a,1
48.259,a,1
48.259,a,1
55.819, s,1
55.819, s,1
55.819, s,1
61.137,a,1
61.137,a,1
61.137,a,1
63.936, s,1
63.936, s,1
63.936, s,1
69.819, m,1
69.819, m,1
69.819, m,1
74.854, o,1
74.854, o,1
74.854, o,1
75.699, p,1
75.699, p,1
75.699, p,1
77.935, o,1
77.935, o,1
77.935, o,1
78.219, p,1
78.219, p,1
78.219, p,1
79.899, o,1
79.899, o,1
79.899, o,1
81.574, d,1
81.574, d,1
81.574, d,1
83.254, o,1
83.254, o,1
83.254, o,1
84.374, m,1
84.374, m,1
84.374, m,1
89.135, d,1
89.135, d,1
89.135, d,1
89.698, m,1
89.698, m,1
89.698, m,1
93.056, s,1
93.056, s,1
93.056, s,1
94.178,a,1
94.178,a,1
94.178,a,1
96.135, s,1
96.135, s,1
96.135, s,1
98.374, m,1
98.374, m,1
98.374, m,1
99.219, s,1
99.219, s,1
99.219, s,1
99.498, o,1
99.498, o,1
99.498, o,1
100.335, p,1
100.335, p,1
100.335, p,1
101.174, o,1
101.174, o,1
101.174, o,1
105.374, d,1
105.374, d,1
105.374, d,1
106.498, s,1
106.498, s,1
106.498, s,1
107.054,a,1
107.054,a,1
107.054,a,1
109.019, s,1
109.019, s,1
109.019, s,1
111.819, d,1
111.819, d,1
111.819, d,1
112.656, m,1
112.656, m,1
112.656, m,1
114.619, s,1
114.619, s,1
114.619, s,1
115.174,a,1
115.174,a,1
115.174,a,1
117.135, s,1
117.135, s,1
117.135, s,1
119.658,a,1
119.658,a,1
119.658,a,1
120.776, s,1
120.776, s,1
120.776, s,1
122.455, m,1
122.455, m,1
122.455, m,1
126.935, d,1
126.935, d,1
126.935, d,1
127.219, o,1
127.219, o,1
127.219, o,1
127.777, p,1
127.777, p,1
127.777, p,1
128.897, o,1
128.897, o,1
128.897, o,1
134.214, p,1
134.214, p,1
134.214, p,1
135.335, o,1
135.335, o,1
135.335, o,1
140.376, d,1
140.376, d,1
140.376, d,1
140.935, m,1
140.935, m,1
144.897, s,1
144.897, s,1
144.897, s,1
145.735,a,1
145.735,a,1
145.735,a,1
149.376, s,1
149.376, s,1
149.376, s,1
151.618, m,1
151.618, m,1
151.618, m,1
153.014, o,1
153.014, o,1
153.014, o,1
153.859, p,1
153.859, p,1
153.859, p,1
155.535, o,1
155.535, o,1
155.535, o,1
157.779, p,1
157.779, p,1
157.779, p,1
158.898, o,1
158.898, o,1
158.898, o,1
162.535, p,1
162.535, p,1
162.535, p,1
163.376, o,1
163.376, o,1
163.376, o,1
165.056, d,1
165.056, d,1
165.056, d,1
165.897, m,1
165.897, m,1
165.897, m,1
169.814, s,1
169.814, s,1
169.814, s,1
170.659,a,1
170.659,a,1
170.659,a,1
172.058, s,1
172.058, s,1
172.058, s,1
174.297, m,1
174.297, m,1
174.297, m,1
180.774, o,1
180.774, o,1
180.774, o,1
181.619, p,1
181.619, p,1
181.619, p,1
182.734, o,1
182.734, o,1
182.734, o,1
186.099, m,1
186.099, m,1
186.374, m,1
189.735, s,1
189.735, s,1
189.735, s,1
190.856,a,1
190.856,a,1
190.856,a,1
191.694, s,1
191.694, s,1
191.694, s,1
193.098, d,1
193.098, d,1
193.098, d,1
194.498, m,1
194.498, m,1
194.498, m,1
197.856, o,1
197.856, o,1
197.856, o,1
198.697, p,1
198.697, p,1
198.697, p,1
199.819, o,1
199.819, o,1
199.819, o,1
201.774, m,1
201.774, m,1
201.774, m,1
205.976, s,1
205.976, s,1
205.976, s,1
207.375,a,1
207.375,a,1
207.375,a,1
208.778, s,1
208.778, s,1
208.778, s,1
210.177, m,1
210.177, m,1
210.177, m,1
214.936, o,1
214.936, o,1
214.936, o,1
215.777, p,1
215.777, p,1
215.777, p,1
217.735, o,1
217.735, o,1
217.735, o,1
219.416, m,1
219.416, m,1
219.416, m,1
223.896, s,1
223.896, s,1
223.896, s,1
224.739,a,1
224.739,a,1
224.739,a,1
226.137, s,1
226.137, s,1
226.137, s,1
227.534, m,1
227.534, m,1
227.534, m,1
233.416, o,1
233.416, o,1
233.416, o,1
234.256, p,1
234.256, p,1
234.256, p,1
235.655, o,1
235.655, o,1
235.655, o,1
237.058, m,1
237.058, m,1
237.058, m,1
240.139, s,1
240.139, s,1
240.139, s,1
241.258,a,1
241.258,a,1
241.258,a,1
242.097, s,1
242.097, s,1
242.097, s,1
243.216, m,1
243.216, m,1
243.216, m,1
256.378, s,1
256.378, s,1
256.378, s,1
258.056,a,1
258.056,a,1
258.056,a,1
261.976, s,1
261.976, s,1
261.976, s,1
263.098, m,1
263.098, m,1
263.098, m,1
265.616, o,1
265.616, o,1
268.577, d,1
268.577, d,1
268.577, d,1
269.414, s,1
269.414, s,1
269.414, s,1
269.977,a,1
269.977,a,1
269.977,a,1
272.214, s,1
272.214, s,1
272.214, s,1
273.897, d,1
273.897, d,1
273.897, d,1
274.455, m,1
274.455, m,1
274.455, m,1
277.815, o,1
277.815, o,1
277.815, o,1
278.376, d,1
278.376, d,1
278.376, d,1
279.219, m,1
279.219, m,1
279.219, m,1
280.894, s,1
280.894, s,1
280.894, s,1
282.294,a,1
282.294,a,1
282.294,a,1
283.418, s,1
283.418, s,1
283.418, s,1
284.538, m,1
284.538, m,1
284.538, m,1
288.458, o,1
288.458, o,1
288.458, o,1
289.578, p,1
289.578, p,1
289.578, p,1
290.414, o,1
290.414, o,1
290.414, o,1
292.125, d,1
292.125, d,1
292.125, d,1
293.664, s,1
293.664, s,1
293.664, s,1
294.583,a,1
294.583,a,1
294.583,a,1
295.503, s,1
295.503, s,1
295.503, s,1
296.725, m,1
296.725, m,1
296.725, m,1
299.474, o,1
299.474, o,1
299.474, o,1
300.903, m,1
300.903, m,1
300.903, m,1
300.903,END,0
