time,code,class
0.618, d,1
1.174, m,1
51.894, d,1
53.014, o,1
54.135, d,1
54.698, m,1
83.014, d,1
84.139, o,1
85.256, p,1
86.095, o,1
89.176, d,1
91.414, s,1
92.817,a,1
95.614, s,1
101.774, m,1
123.619, d,1
123.895, s,1
124.458,a,1
127.819, s,1
128.694, m,1
145.217, d,1
147.459, o,1
149.417, d,1
150.818, s,1
151.654,a,1
153.335, s,1
160.055,a,1
167.054, s,1
170.975, d,1
171.259, m,1
188.376, s,1
189.777,a,1
190.336, s,1
192.014, d,1
193.415, m,1
196.495, s,1
199.017,a,1
202.376, s,1
208.815,a,1
212.737, s,1
218.338,a,1
226.175, s,1
227.015,a,1
247.738, s,1
248.579,a,1
255.855, s,1
257.816,a,1
294.214,END,0
