time,code,class
0.149,a,1
7.701, s,1
10.225,a,1
13.061, s,1
13.625,a,1
24.265, s,1
31.825,a,1
36.304, s,1
39.942,a,1
43.024, s,1
58.746, d,1
60.982, s,1
63.503,a,1
66.581, s,1
68.264,a,1
72.461, s,1
73.865,a,1
86.182, s,1
90.665,a,1
94.022, s,1
98.502, d,1
101.023, o,1
103.822, p,1
104.665, o,1
106.621, d,1
109.703, s,1
113.623,a,1
116.141, s,1
119.784, d,1
122.584, o,1
126.585, d,1
128.542, s,1
131.622,a,1
134.422, s,1
138.622,a,1
142.263, s,1
146.183,a,1
149.822, s,1
151.504,a,1
161.024, s,1
161.585,a,1
170.546, s,1
171.104,a,1
175.865, s,1
176.704,a,1
179.225, s,1
179.781,a,1
191.824, s,1
199.383, d,1
203.585, s,1
207.506,a,1
218.741, s,1
225.186,a,1
227.423, s,1
231.065,a,1
279.786, s,1
280.621,a,1
292.375, s,1
292.683,a,1
300.358,END,0
