time,code,class
0.03, o,1
3.664, d,1
8.98, o,1
15.705, p,1
21.3, o,1
25.224, d,1
31.383, s,1
38.661, d,1
42.301, s,1
50.422,a,1
52.1, s,1
53.783,a,1
70.862, s,1
72.585,a,1
80.425, s,1
82.66,a,1
95.26, s,1
103.941,a,1
115.705, s,1
122.545,a,1
143.821, s,1
145.783,a,1
157.822, s,1
158.944,a,1
161.783, s,1
164.583,a,1
170.183, s,1
171.584,a,1
176.9, s,1
177.745,a,1
180.26, s,1
185.301,a,1
190.06, s,1
195.1,a,1
198.18, s,1
201.541,a,1
204.065, s,1
205.462,a,1
209.66, s,1
211.905,a,1
215.865, s,1
218.381,a,1
222.583, s,1
224.541,a,1
248.341, s,1
249.744,a,1
271.023, s,1
272.703,a,1
300.251,END,0
