time,code,class
0,a,1
6.729, s,1
12.328,a,1
20.328, s,1
22.729, m,1
25.927, o,1
27.529, p,1
47.129, o,1
48.729, m,1
50.728, s,1
52.328,a,1
57.129, s,1
61.529,a,1
64.728, s,1
67.127,a,1
70.728, s,1
72.728,a,1
77.129, s,1
79.529,a,1
81.528, s,1
85.529, m,1
89.927, s,1
91.528,a,1
96.328, s,1
101.129,a,1
102.328, s,1
103.529,a,1
107.129, s,1
111.129,a,1
117.127, s,1
119.529,a,1
125.127, s,1
131.529, m,1
136.729, o,1
140.328, p,1
141.929, o,1
144.328, m,1
147.129, s,1
148.328,a,1
153.129, s,1
157.129, m,1
161.929, s,1
163.529,a,1
166.328, s,1
171.127,a,1
175.529, s,1
181.929, m,1
184.328, o,1
187.529, p,1
192.729, o,1
195.529, m,1
199.929, s,1
201.929,a,1
204.729, s,1
206.729, m,1
209.127, o,1
211.132, p,1
217.127, o,1
220.728, p,1
243.129, o,1
244.327, p,1
300.053,END,0
