time,code,class
0.175, o,1
4.936, d,1
6.535, s,1
11.336,a,1
16.137, s,1
17.337, m,1
19.736, o,1
22.537, p,1
24.936, o,1
26.936, d,1
28.537, s,1
32.936,a,1
36.137, s,1
37.736, m,1
40.537, o,1
44.537, p,1
45.736, o,1
47.377, p,1
47.778, o,1
48.977, d,1
50.977, s,1
54.177,a,1
56.177, s,1
57.377, m,1
59.778, o,1
63.377, p,1
64.976, o,1
66.588, d,1
68.578, s,1
72.977,a,1
74.177, s,1
76.177, d,1
77.778, o,1
80.576, p,1
82.175, o,1
85.375, d,1
86.977, s,1
90.175,a,1
92.177, s,1
96.177, m,1
99.778, o,1
104.177, p,1
106.177, o,1
107.778, d,1
109.377, s,1
114.575, m,1
118.177, o,1
122.577, m,1
124.177, s,1
125.777,a,1
127.375, s,1
128.977, d,1
130.577, o,1
134.576, m,1
138.177, s,1
142.177, m,1
144.177, o,1
148.177, p,1
152.175, o,1
153.376, d,1
154.177, m,1
156.977, s,1
159.777, m,1
161.777, o,1
163.776, p,1
166.577, o,1
167.777, m,1
170.579, s,1
175.376, d,1
177.376, o,1
182.177, m,1
183.376, s,1
185.376,a,1
186.177, s,1
187.776, d,1
188.977, o,1
190.977, p,1
193.376, o,1
194.577, d,1
196.577, s,1
202.177, m,1
204.177, o,1
206.977, m,1
208.177, s,1
210.978,a,1
211.777, s,1
213.375, m,1
216.977, o,1
222.177, p,1
222.977, o,1
224.177, d,1
224.977, s,1
227.777,a,1
230.177, s,1
231.376, m,1
234.577, o,1
236.977, m,1
238.975, s,1
243.777, m,1
245.776, o,1
250.576, d,1
251.777, s,1
255.777,a,1
258.177, s,1
260.177, m,1
264.577, o,1
268.577, p,1
270.177, o,1
272.177, d,1
273.376, s,1
276.977,a,1
278.977, s,1
280.977, m,1
284.577, o,1
288.577, p,1
289.777, o,1
291.376, p,1
294.177, o,1
294.977, d,1
296.577, s,1
299.777,a,1
300.308,END,0
